Label,Message
1,Congratulations! You have won a $1,000 Walmart gift card. Click here to claim: httpaddr
1,URGENT: Your bank account has been locked. Verify your identity immediately at httpaddr
1,Your IRS tax refund is ready. Please confirm your details below to receive your money httpaddr
1,Dear user, your Netflix subscription will be canceled if you do not update your payment info at httpaddr
1,Warning: Suspicious login detected on your reliable banking app. Visit httpaddr to secure your account.
1,Winner! Call 1-800-FAKE-NUM to claim your prize out of our lottery drawing today.
1,Your Amazon package could not be delivered due to insufficient address. Please update it: httpaddr
1,DEBIT CARD BLOCKED. To reactivate your card, verify your details at httpaddr
1,Claim your free BTC now! Elon Musk is giving away cryptocurrency. Click here: httpaddr
1,Your PayPal account has been limited. Please resolve the issue at httpaddr
1,Final Notice: Your electricity bill is past due. Pay now to avoid disconnection: httpaddr
0,Hey, are we still meeting for lunch at 12?
0,Don't forget to pick up milk on your way home.
0,Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.
0,Thanks for submitting your assignment. The grades will be posted next week.
0,Mom says hi! Give us a call when you are free tonight.
0,The project meeting has been moved to Thursday. See you then.
0,Can you send me the recipe for that pasta you made last time?
0,Hey, did you see the email from HR about the new policy?
0,Just checking in to see how your weekend went!
0,Are you coming to the team building event on Friday?
0,Can you review the latest draft of the presentation?
